params,mean_accuracy
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7115157842636108
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.710611629486084
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.710267162322998
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7098653435707092
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7094634771347046
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7090472936630249
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7082866311073304
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.7061051487922668
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7060764193534851
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.7060477375984192
"{'neurons': 144, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7052870988845825
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7041964173316956
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7041820287704468
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7027898311614991
"{'neurons': 144, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7022588729858399
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.6984557032585144
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.6959871530532837
"{'neurons': 144, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.6865866780281067
