params,mean_accuracy
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.724949586391449
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.7195836663246155
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.7158700466156006
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.7061803221702576
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.7051068425178528
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.6987837076187133
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.6961112141609191
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.6906404972076416
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.689346182346344
"{'neurons': 196, 'learning_rate': 0.01, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.6811499118804931
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.6800670385360718
"{'neurons': 196, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.676720917224884
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.0}",0.6732179522514343
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.0}",0.6684730529785157
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.0}",0.6673784494400025
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.01, 'dropout': 0.2}",0.6634125590324402
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.1, 'dropout': 0.2}",0.6600665092468262
"{'neurons': 196, 'learning_rate': 0.0001, 'batch_size': 64, 'epochs': 100, 'l2_reg': 0.001, 'dropout': 0.2}",0.655374038219452
